tf	score	n_a	n_b	n_shared	expected	replication_raw	replication
MLXIP	500	111	1080	94	1.0930974742409045	0.46694194194194194	0.845323636556715
ZBTB12	500	911	194	147	1.6115072490197866	0.4595465501827605	0.7557026445399992
MXD4	500	508	0	0	0.0	0.0	0.0
GATA2	500	3375	1767	883	54.37790644661256	0.38067333207570897	0.48383242086649914
MTF2	500	498	97	68	0.4404668551107869	0.4187885562870037	0.6996671477638049
NFXL1	500	12	79	8	0.00864411416066381	0.38396624472573837	0.6664263792951368
AHR	500	954	642	483	5.584644843621774	0.6293128783871158	0.7501631619794419
PHF6	500	739	908	335	6.118464484362177	0.4111290111056136	0.44875129141334513
CHD1	500	942	380	304	3.263973739400018	0.5613588110403397	0.7982672356706644
TEAD1	500	704	1387	575	8.903510531594785	0.6156625852067903	0.8144142547768348
NKX3-1	500	143	57	36	0.07432296890672016	0.4416635995583364	0.6310979316323349
KMT2C	500	1562	1415	1137	20.15346038114343	0.7657232505214389	0.8006949208362636
YAP1	500	1351	1068	855	13.15645117169691	0.7167131712672261	0.7980743208444555
NFKB2	500	1873	812	493	13.867748700647397	0.43517847608878035	0.6003168654309224
RREB1	500	263	184	173	0.4412510258046868	0.7990060340552156	0.9400736817968487
POU2F3	500	1623	618	444	9.145746329898786	0.4960070347971215	0.7142173205637496
PRMT5	500	17	20	16	0.003100209720069299	0.8705882352941177	0.9411657412623053
GLYR1	500	112	488	81	0.49836783076502233	0.4445989461358314	0.721977163949055
RBBP4	500	904	0	0	0.0	0.0	0.0
HINFP	500	430	253	239	0.9919759277833501	0.7502389925544628	0.9444462133634757
STAT4	500	134	0	0	0.0	0.0	0.0
GATA4	500	2192	497	193	9.933655511990517	0.23818871256737506	0.3758550484132582
DOT1L	500	557	379	264	1.92489286039938	0.5852688024329356	0.6950209710941626
SMAD4	500	1856	2723	1019	46.08268441688703	0.46162489156862996	0.5375479350390445
E2F8	500	749	156	140	1.0654144250934623	0.5421758926431823	0.8967306109179577
MYBL2	500	1514	1211	622	16.717917388529223	0.4622286678585882	0.5068166821090825
